Nombre;id del curso;URL_lMS;;;;;;;;;;;;;;;;;;;;;
Flexibilidad mental y gestión de las emociones;course-v1:ISILGO+11_FMGE+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+11_FMGE+2021/course/;;;;;;;;;;;;;;;;;;;;;
Medios Digitales para Posicionar tu Empresa;course-v1:ISILGO+120_PMD+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+120_PMD+2022/course/;;;;;;;;;;;;;;;;;;;;;
Responsabilidad social empresarial;course-v1:ISILGO+121_RSE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+121_RSE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Técnicas de Creatividad para el desarrollo de ideas;course-v1:ISILGO+122_TCDI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+122_TCDI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Técnicas y herramientas para la venta;course-v1:ISILGO+123_THV+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+123_THV+2022/course/;;;;;;;;;;;;;;;;;;;;;
Tendencias digitales de la banca y fintechs;course-v1:ISILGO+124_TDBF+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+124_TDBF+2022/course/;;;;;;;;;;;;;;;;;;;;;
Transformación digital aplicada a la banca;course-v1:ISILGO+125_TDAB+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+125_TDAB+2022/course/;;;;;;;;;;;;;;;;;;;;;
Aplicando la tecnología para innovar en la logística;course-v1:ISILGO+126_ATIL+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+126_ATIL+2022/course/;;;;;;;;;;;;;;;;;;;;;
Autoconocimiento y Desarrollo Personal;course-v1:ISILGO+127_ADP+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+127_ADP+2022/course/;;;;;;;;;;;;;;;;;;;;;
Branding Digital;course-v1:ISILGO+128_BD+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+128_BD+2022/course/;;;;;;;;;;;;;;;;;;;;;
Business intelligence;course-v1:ISILGO+129_BI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+129_BI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Productividad y gestión del tiempo;course-v1:ISILGO+12_PGT+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+12_PGT+2021/course/;;;;;;;;;;;;;;;;;;;;;
¿Cómo diseñar un negocio digital desde cero?;course-v1:ISILGO+130_CDND+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+130_CDND+2022/course/;;;;;;;;;;;;;;;;;;;;;
PROMOCIÓN DE DESTINOS TURÍSTICOS;course-v1:ISILGO+131_PDT+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+131_PDT+2022/course/;;;;;;;;;;;;;;;;;;;;;
Diseño y gestión de eventos en hoteles;course-v1:ISILGO+132_DGEH+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+132_DGEH+2022/course/;;;;;;;;;;;;;;;;;;;;;
Guest Service Experience: Gestionando la mejor experiencia del huésped;course-v1:ISILGO+133_GSE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+133_GSE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de costos para hoteles y restaurantes;course-v1:ISILGO+134_GCHR+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+134_GCHR+2022/course/;;;;;;;;;;;;;;;;;;;;;
Revenue Management: Proyectando tarifas hoteleras;course-v1:ISILGO+135_RMPT+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+135_RMPT+2022/course/;;;;;;;;;;;;;;;;;;;;;
Hospitality: Introducción a la industria hotelera y turismo;course-v1:ISILGO+136_HIIH+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+136_HIIH+2022/course/;;;;;;;;;;;;;;;;;;;;;
Aplicando el marketing digital en hotelería y turismo;course-v1:ISILGO+137_AMDH+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+137_AMDH+2022/course/;;;;;;;;;;;;;;;;;;;;;
Innovación en el modelo de negocio de hoteles y restaurantes;course-v1:ISILGO+138_IMNH+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+138_IMNH+2022/course/;;;;;;;;;;;;;;;;;;;;;
Desarrolla y planifica tu próxima colección de moda;course-v1:ISILGO+139_DPPC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+139_DPPC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Atracción y selección del talento;course-v1:ISILGO+13_AST+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+13_AST+2021/course/;;;;;;;;;;;;;;;;;;;;;
Branding para una marca de moda memorable;course-v1:ISILGO+140_BFS+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+140_BFS+2022/course/;;;;;;;;;;;;;;;;;;;;;
Moda sostenible: Diseñando marcas con impacto positivo;course-v1:ISILGO+141_MSDM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+141_MSDM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Presupuestando un proyecto de diseño de interiores;course-v1:ISILGO+142_PPDI+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+142_PPDI+2022/course/;;;;;;;;;;;;;;;;;;;;;
Diseño de interiores: Creando espacios comerciales;course-v1:ISILGO+143_DICE+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+143_DICE+2022/course/;;;;;;;;;;;;;;;;;;;;;
Atención al cliente financiero;course-v1:ISILGO+144_ACF+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+144_ACF+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión financiera para Banca Personas;course-v1:ISILGO+145_GFAF+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+145_GFAF+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión financiera para MYPES y PYMES;course-v1:ISILGO+146_GFAM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+146_GFAM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a productos de inversión y mercado de valores;course-v1:ISILGO+147_IPIM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+147_IPIM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión eficiente de agencias bancarias;course-v1:ISILGO+148_GEAB+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+148_GEAB+2022/course/;;;;;;;;;;;;;;;;;;;;;
Gestión financiera para Banca Empresa;course-v1:ISILGO+149_GFAB+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+149_GFAB+2022/course/;;;;;;;;;;;;;;;;;;;;;
Relaciones públicas para el manejo de crisis;course-v1:ISILGO+14_RPMC+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+14_RPMC+2021/course/;;;;;;;;;;;;;;;;;;;;;
Herramientas digitales para maximizar el potencial de tu marca;course-v1:ISILGO+150_HDMP+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+150_HDMP+2022/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a la comunicación estratégica para una marca exitosa;course-v1:ISILGO+151_ICEM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+151_ICEM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Estrategias de Publicidad Digital para Desarrollo de Marca;course-v1:ISILGO+152_ECME+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+152_ECME+2022/course/;;;;;;;;;;;;;;;;;;;;;
Planeamiento estratégico de la comunicación;course-v1:ISILGO+153_PEC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+153_PEC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Organiza eventos integrales de alto impacto;course-v1:ISILGO+154_OEIA+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+154_OEIA+2022/course/;;;;;;;;;;;;;;;;;;;;;
Comunicación corporativa: diseñando mensajes y acciones de impacto;course-v1:ISILGO+155_CIDM+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+155_CIDM+2022/course/;;;;;;;;;;;;;;;;;;;;;
Análisis de costos y presupuestos para la toma de decisiones.;course-v1:ISILGO+156_AITD+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+156_AITD+2022/course/;;;;;;;;;;;;;;;;;;;;;
Planificación Comercial;course-v1:ISILGO+156_PC+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+156_PC+2022/course/;;;;;;;;;;;;;;;;;;;;;
Future Thinking;course-v1:ISILGO+157_FT+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+157_FT+2022/course/;;;;;;;;;;;;;;;;;;;;;
Herramientas estadísticas y tendencias;course-v1:ISILGO+157_HET+2022;https://manager.isilgo.com/courses/course-v1:ISILGO+157_HET+2022/course/;;;;;;;;;;;;;;;;;;;;;
